UBIGEO_ID,DEPARTAMENTO_ID,DEPARTAMENTO_NOMBRE,DEPARTAMENTO,PROVINCIA_ID,PROVINCIA_NOMBRE,PROVINCIA,DISTRITO_ID,DISTRITO_NOMBRE,DISTRITO,COMUNIDAD_CAMPESINA_ID,COMUNIDAD_CAMPESINA_NOMBRE,COMUNIDAD CAMPESINA
1,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010104,Cheto,010104 Cheto,0001,CHETO,0001 CHETO
2,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010105,Chiliquin,010105 Chiliquin,0001,CHILIQUIN,0001 CHILIQUIN
3,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010105,Chiliquin,010105 Chiliquin,0002,VITUYA,0002 VITUYA
4,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010105,Chiliquin,010105 Chiliquin,0012,SENGACHE,0012 SENGACHE
5,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010105,Chiliquin,010105 Chiliquin,0030,CUELCHO,0030 CUELCHO
6,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010106,Chuquibamba,010106 Chuquibamba,0001,CHUQUIBAMBA,0001 CHUQUIBAMBA
7,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010107,Granada,010107 Granada,0003,DIOSAN,0003 DIOSAN
8,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010107,Granada,010107 Granada,0009,SAN JUAN DE EÑARA,0009 SAN JUAN DE EÑARA
9,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010108,Huancas,010108 Huancas,0001,HUANCAS,0001 HUANCAS
10,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010109,La Jalca,010109 La Jalca,0001,LA JALCA,0001 LA JALCA
11,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010110,Leimebamba,010110 Leimebamba,0001,LEIMEBAMBA,0001 LEIMEBAMBA
12,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010111,Levanto,010111 Levanto,0001,LEVANTO,0001 LEVANTO
13,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010112,Magdalena,010112 Magdalena,0001,MAGDALENA,0001 MAGDALENA
14,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010114,Molinopampa,010114 Molinopampa,0015,TAULIA,0015 TAULIA
15,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010115,Montevideo,010115 Montevideo,0001,MONTEVIDEO,0001 MONTEVIDEO
16,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010116,Olleros,010116 Olleros,0001,OLLEROS,0001 OLLEROS
17,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010117,Quinjalca,010117 Quinjalca,0001,QUINJALCA,0001 QUINJALCA
18,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010120,Soloco,010120 Soloco,0001,SOLOCO,0001 SOLOCO
19,01,Amazonas,01 Amazonas,0101,Chachapoyas,0101 Chachapoyas,010121,Sonche,010121 Sonche,0001,SAN JUAN DE SONCHE,0001 SAN JUAN DE SONCHE
20,01,Amazonas,01 Amazonas,0102,Bagua,0102 Bagua,010203,Copallin,010203 Copallin,0001,COPALLIN,0001 COPALLIN
21,01,Amazonas,01 Amazonas,0102,Bagua,0102 Bagua,010206,La Peca,010206 La Peca,0001,LA PECA,0001 LA PECA
22,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010301,Jumbilla,010301 Jumbilla,0001,JUMBILLA,0001 JUMBILLA
23,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010302,Chisquilla,010302 Chisquilla,0001,CHISQUILLA,0001 CHISQUILLA
24,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010304,Corosha,010304 Corosha,0001,COROSHA,0001 COROSHA
25,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010305,Cuispes,010305 Cuispes,0001,CUISPES,0001 CUISPES
26,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010306,Florida,010306 Florida,0001,FLORIDA (POMACOCHAS),0001 FLORIDA (POMACOCHAS)
27,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010307,Jazan,010307 Jazan,0016,CHOSGON,0016 CHOSGON
28,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010307,Jazan,010307 Jazan,0028,SAN JERONIMO,0028 SAN JERONIMO
29,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010308,Recta,010308 Recta,0001,RECTA,0001 RECTA
30,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010309,San Carlos,010309 San Carlos,0001,SAN CARLOS,0001 SAN CARLOS
31,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010310,Shipasbamba,010310 Shipasbamba,0001,SHIPASBAMBA,0001 SHIPASBAMBA
32,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010311,Valera,010311 Valera,0001,SAN PABLO,0001 SAN PABLO
33,01,Amazonas,01 Amazonas,0103,Bongará,0103 Bongará,010312,Yambrasbamba,010312 Yambrasbamba,0001,YAMBRASBAMBA,0001 YAMBRASBAMBA
34,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010501,Lamud,010501 Lamud,0010,CUEMAL,0010 CUEMAL
35,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010504,Colcamar,010504 Colcamar,0001,COLCAMAR,0001 COLCAMAR
36,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010505,Conila,010505 Conila,0007,CONILA,0007 CONILA
37,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010507,Longuita,010507 Longuita,0008,CHOCTAMAL,0008 CHOCTAMAL
38,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010508,Lonya Chico,010508 Lonya Chico,0001,LONYA CHICO,0001 LONYA CHICO
39,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010510,Luya Viejo,010510 Luya Viejo,0001,LUYA VIEJO,0001 LUYA VIEJO
40,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010511,Maria,010511 Maria,0001,MARIA,0001 MARIA
41,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010516,San Cristobal,010516 San Cristobal,0001,OLTO,0001 OLTO
42,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010517,San Francisco Del Yeso,010517 San Francisco Del Yeso,0001,SAN FRANCISCO DEL YESO,0001 SAN FRANCISCO DEL YESO
43,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010518,San Jeronimo,010518 San Jeronimo,0001,PACLAS,0001 PACLAS
44,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010518,San Jeronimo,010518 San Jeronimo,0006,DUNIA CHICO,0006 DUNIA CHICO
45,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010520,Santa Catalina,010520 Santa Catalina,0001,SANTA CATALINA,0001 SANTA CATALINA
46,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010521,Santo Tomas,010521 Santo Tomas,0001,SANTO TOMAS,0001 SANTO TOMAS
47,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010522,Tingo,010522 Tingo,0001,TINGO,0001 TINGO
48,01,Amazonas,01 Amazonas,0105,Luya,0105 Luya,010523,Trita,010523 Trita,0001,TRITA,0001 TRITA
49,01,Amazonas,01 Amazonas,0107,Utcubamba,0107 Utcubamba,010701,Bagua Grande,010701 Bagua Grande,0015,GONCHA,0015 GONCHA
50,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020101,Huaraz,020101 Huaraz,0088,HUAMARIN,0088 HUAMARIN
51,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020102,Cochabamba,020102 Cochabamba,0001,COCHABAMBA,0001 COCHABAMBA
52,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020103,Colcabamba,020103 Colcabamba,0001,COLCABAMBA,0001 COLCABAMBA
53,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020104,Huanchay,020104 Huanchay,0001,HUANCHAY,0001 HUANCHAY
54,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020104,Huanchay,020104 Huanchay,0057,COLTUS,0057 COLTUS
55,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020107,La Libertad,020107 La Libertad,0001,CAJAMARQUILLA,0001 CAJAMARQUILLA
56,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020108,Olleros,020108 Olleros,0025,CANRAY GRANDE,0025 CANRAY GRANDE
57,02,Áncash,02 Áncash,0201,Huaraz,0201 Huaraz,020111,Pira,020111 Pira,0001,PIRA,0001 PIRA
58,02,Áncash,02 Áncash,0202,Aija,0202 Aija,020201,Aija,020201 Aija,0001,AIJA,0001 AIJA
59,02,Áncash,02 Áncash,0202,Aija,0202 Aija,020201,Aija,020201 Aija,0034,MALLQUI,0034 MALLQUI
60,02,Áncash,02 Áncash,0202,Aija,0202 Aija,020204,La Merced,020204 La Merced,0014,SANTA CRUZ DE RUREK,0014 SANTA CRUZ DE RUREK
61,02,Áncash,02 Áncash,0203,Antonio Raymondi,0203 Antonio Raymondi,020305,Mirgas,020305 Mirgas,0037,SAN ANTONIO DE ACO,0037 SAN ANTONIO DE ACO
62,02,Áncash,02 Áncash,0203,Antonio Raymondi,0203 Antonio Raymondi,020305,Mirgas,020305 Mirgas,0050,QUINHUARAGRA,0050 QUINHUARAGRA
63,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020501,Chiquian,020501 Chiquian,0001,CHIQUIAN,0001 CHIQUIAN
64,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020501,Chiquian,020501 Chiquian,0004,CARCAS,0004 CARCAS
65,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020501,Chiquian,020501 Chiquian,0034,CUSPON,0034 CUSPON
66,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020502,Abelardo Pardo Lezameta,020502 Abelardo Pardo Lezameta,0001,LLACLLA,0001 LLACLLA
67,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020504,Aquia,020504 Aquia,0001,AQUIA,0001 AQUIA
68,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020505,Cajacay,020505 Cajacay,0001,CAJACAY,0001 CAJACAY
69,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020506,Canis,020506 Canis,0001,CANIS,0001 CANIS
70,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020507,Colquioc,020507 Colquioc,0014,COLQUIOC,0014 COLQUIOC
71,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020508,Huallanca,020508 Huallanca,0001,HUALLANCA,0001 HUALLANCA
72,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020508,Huallanca,020508 Huallanca,0059,CHIURUCO,0059 CHIURUCO
73,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020508,Huallanca,020508 Huallanca,0110,ALTO PERU,0110 ALTO PERU
74,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020509,Huasta,020509 Huasta,0001,HUASTA,0001 HUASTA
75,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020509,Huasta,020509 Huasta,0007,POMAPATA,0007 POMAPATA
76,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020509,Huasta,020509 Huasta,0019,QUERO,0019 QUERO
77,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020509,Huasta,020509 Huasta,0020,MAHUAY,0020 MAHUAY
78,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020509,Huasta,020509 Huasta,0024,SAN ANTONIO DE QUISIPATA,0024 SAN ANTONIO DE QUISIPATA
79,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020509,Huasta,020509 Huasta,0026,POCPA,0026 POCPA
80,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020510,Huayllacayan,020510 Huayllacayan,0001,HUAYLLACAYAN,0001 HUAYLLACAYAN
81,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020512,Mangas,020512 Mangas,0001,MANGAS,0001 MANGAS
82,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020512,Mangas,020512 Mangas,0003,NANIS,0003 NANIS
83,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020512,Mangas,020512 Mangas,0004,CHAMAS,0004 CHAMAS
84,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020513,Pacllon,020513 Pacllon,0001,PACLLON,0001 PACLLON
85,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020514,San Miguel De Corpanqui,020514 San Miguel De Corpanqui,0001,CORPANQUI,0001 CORPANQUI
86,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020514,San Miguel De Corpanqui,020514 San Miguel De Corpanqui,0007,CARHUAJARA,0007 CARHUAJARA
87,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020515,Ticllos,020515 Ticllos,0001,TICLLOS,0001 TICLLOS
88,02,Áncash,02 Áncash,0205,Bolognesi,0205 Bolognesi,020515,Ticllos,020515 Ticllos,0009,ROCA,0009 ROCA
89,02,Áncash,02 Áncash,0206,Carhuaz,0206 Carhuaz,020606,Marcara,020606 Marcara,0030,SHUMAY,0030 SHUMAY
90,02,Áncash,02 Áncash,0206,Carhuaz,0206 Carhuaz,020606,Marcara,020606 Marcara,0040,VICOS,0040 VICOS
91,02,Áncash,02 Áncash,0207,Carlos Fermín Fitzcarrald,0207 Carlos Fermín Fitzcarrald,020701,San Luis,020701 San Luis,0010,ROSAS TAYAPAMPA,0010 ROSAS TAYAPAMPA
92,02,Áncash,02 Áncash,0207,Carlos Fermín Fitzcarrald,0207 Carlos Fermín Fitzcarrald,020703,Yauya,020703 Yauya,0081,JATUN OCO,0081 JATUN OCO
93,02,Áncash,02 Áncash,0208,Casma,0208 Casma,020802,Buena Vista Alta,020802 Buena Vista Alta,0002,HUANCHUY,0002 HUANCHUY
94,02,Áncash,02 Áncash,0209,Corongo,0209 Corongo,020902,Aco,020902 Aco,0001,ACO,0001 ACO
95,02,Áncash,02 Áncash,0209,Corongo,0209 Corongo,020903,Bambas,020903 Bambas,0003,HUASHGO,0003 HUASHGO
96,02,Áncash,02 Áncash,0209,Corongo,0209 Corongo,020904,Cusca,020904 Cusca,0001,CUSCA,0001 CUSCA
97,02,Áncash,02 Áncash,0209,Corongo,0209 Corongo,020904,Cusca,020904 Cusca,0002,HUARIRCA,0002 HUARIRCA
98,02,Áncash,02 Áncash,0209,Corongo,0209 Corongo,020906,Yanac,020906 Yanac,0001,YANAC,0001 YANAC
99,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021001,Huari,021001 Huari,0009,MITUCHACA,0009 MITUCHACA
100,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021001,Huari,021001 Huari,0033,YACYA,0033 YACYA
101,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021001,Huari,021001 Huari,0040,MALLAS,0040 MALLAS
102,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021002,Anra,021002 Anra,0001,ANRA,0001 ANRA
103,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021005,Huacachi,021005 Huacachi,0001,HUACACHI,0001 HUACACHI
104,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021005,Huacachi,021005 Huacachi,0019,QUINHUAY,0019 QUINHUAY
105,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021007,Huachis,021007 Huachis,0001,HUACHIS,0001 HUACHIS
106,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021007,Huachis,021007 Huachis,0009,QUECAS,0009 QUECAS
107,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021007,Huachis,021007 Huachis,0022,QUILLOC,0022 QUILLOC
108,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021009,Masin,021009 Masin,0007,ACCHAS,0007 ACCHAS
109,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021010,Paucas,021010 Paucas,0001,PAUCAS,0001 PAUCAS
110,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021011,Ponto,021011 Ponto,0002,YUNGUILLA,0002 YUNGUILLA
111,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021011,Ponto,021011 Ponto,0008,RAMBRAN,0008 RAMBRAN
112,02,Áncash,02 Áncash,0210,Huari,0210 Huari,021011,Ponto,021011 Ponto,0035,CONIN,0035 CONIN
